NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
1632	leaf	leaf			Plants	628	LEAF
1633	leaf (of door, window)	leaf (of door, window)	one of the movably attached, opening and closing parts or halves of a door, window		N/a		
1634	leaf spring	leaf spring	spring in the form of a curved length(s) of steel, used in the suspension of wheeled vehicles		N/a		
1635	leafy tops of root vegetables	leafy tops of root vegetables			Natural objects		
1636	lean	lean			Other physical	2219	LEAN (MEAT)
1637	leaves of root vegetables	leaves of root vegetables			N/a		
1638	leech	leech			Animals	2273	LEECH
1639	leek	leek			Plants		
1640	leeward	leeward	on the side sheltered from the wind		N/a		
1641	left	left	sinister; designating the side of the body toward the west when one is facing north; the opposite of right		Non-physical	244	LEFT
1642	left (political)	left (political)	favoring political and social equality		N/a		
1643	left-handed	left-handed	using one&#39;s left hand in preference to, or more skillfully than, one&#39;s right		N/a	2825	LEFT HANDED
1644	leg (furniture)	leg (furniture)	supporting protrusion of an inanimate object, mostly furniture		N/a		
1645	lemming	lemming	small rodent form the subfamily Arvicolinae, usually found in or near the Arctic in tundra biomes		N/a		
1646	lemon	lemon			N/a	3091	LEMON
1647	lemon balm	lemon balm	Melissa officinalis,  perennial herbaceous plant in the mint family		N/a		
1648	length	length			N/a	2537	LENGTH
1649	lenient	lenient			Evaluation		
1650	lens	lens			N/a		
1651	lenten (fare)	lenten (fare)			N/a		
1652	lentil	lentil	plant Lens culinaris, that have edible, lens-shaped seeds within flattened pods.		N/a	3330	LENTILS
1653	Leo (constellation)	Leo (constellation)	constellation of the zodiac, shaped approximately like a lion and containing the stars Regulus and Denebola		N/a		
1654	leper	leper			Physiology		
1655	leprosy	leprosy			Human being	3624	LEPROSY
1656	lesbian	lesbian			N/a		
1657	letter (character)	letter (character)			Abstract entities		
1658	letter (text)	letter (text)			Artifacts	1612	LETTER
1659	lettuce	lettuce	edible plant, Lactuca sativa		N/a	3729	LETTUCE
1660	level	level	distance relative to a given reference elevation		N/a	3469	LEVEL
1661	Libra	Libra	constellation of the zodiac, supposedly shaped like a set of scales		N/a		
1662	lichen	lichen	any of many symbiotic organisms, being associations of algae and fungi, often found as white or yellow-to-blue–green patches on rocks, old walls, etc.		N/a		
1663	lie (n.), untruth	lie (n.), untruth			N/a	2826	LIE (FALSEHOOD)
1664	lier	lier			N/a		
1665	life	life			Abstract entities	210	LIFE
1666	lifting machine	lifting machine			N/a		
1667	ligament (anat.)	ligament (anat.)			Body parts		
1668	light (n.)	light (n.)			Natural objects	630	LIGHT (RADIATION)
1669	light (of weight)	light (of weight)			Other physical	1052	LIGHT (WEIGHT)
1670	light, bright, clear	light, bright, clear	None		Light and Colour	679	BRIGHT
1671	light-headed	light-headed			Non-physical		
1672	lightning	lightning			Natural objects	1654	LIGHTNING
1673	lightning	lightning			Natural objects	1654	LIGHTNING
1674	lily-of-the-valley (Convallaria majalis)	lily-of-the-valley (Convallaria majalis)			N/a		
1675	limit	limit			Abstract entities		
1676	linden	linden	any of various deciduous trees of the genus Tilia, having heart-shaped leaves		N/a		
1677	line	line			Abstract entities	1048	LINE
1678	line (in poetry)	line (in poetry)			N/a		
1679	lineage	lineage			N/a		
1680	lingonberry	lingonberry	shrub Vaccinium vitis-idaea		N/a		
1681	lion (Panthera leo)	lion (Panthera leo)			Animals	1386	LION
1682	lip	lip			Body parts	478	LIP
1683	liquid	liquid			Natural objects		
1684	liquid (adj.)	liquid (adj.)			Tactile quality	58	LIQUID
1685	liquid food	liquid food			N/a		
1686	listener	listener			Human being		
1687	literacy	literacy	ability to read and write		N/a		
1688	literally	literally			N/a		
1689	little finger	little finger			Body parts	2774	LITTLE FINGER
1690	little, small	little, small			Size	1246	SMALL
1691	live-in son-in-law	live-in son-in-law	man who marries and lives with his wife&#39;s family		N/a		
1692	livelihood	livelihood	means of providing the necessities of life for oneself		N/a		
1693	lively person	lively person			N/a		
1694	liver	liver			Body parts	1224	LIVER
1695	lizard	lizard			Animals	632	LIZARD
1696	loach (fish, Misgurnus)	loach (fish, Misgurnus)			Animals		
1697	location of emotions	location of emotions			Abstract entities	2198	LOCATION OF EMOTIONS
1698	lock (n.)	lock (n.)			Artifacts	1596	LOCK
1699	locked	locked			N/a		
1700	locust	locust	any of the grasshoppers, often polyphenic and usually swarming, in the family Acrididae that are very destructive to crops and other vegetation, (especially) the migratory locust (Locusta migratoria)		N/a	810	LOCUST
1701	log	log			Natural objects		
1702	loins	loins			Body parts	187	LOIN
1703	long (period of time)	long (period of time)			Time	418	FOR A LONG TIME
1704	long (size)	long (size)			Size	1203	LONG
1705	long ago	long ago			Time	373	LONG AGO
1706	long ago	long ago			Time	373	LONG AGO
1707	long-armed	long-armed			N/a		
1708	long-fibred flax (Linum usitatissimum)	long-fibred flax (Linum usitatissimum)			Plants		
1709	longitude	longitude	angular distance measured west or east of the prime meridian		N/a		
1710	look (n.)	look (n.)			Abstract entities	1017	APPEARANCE
1711	loop	loop			Artifacts		
1712	lord, master	lord, master	someone who has control over something or someone		Human being	383	MASTER
1713	lose weight	lose weight			N/a		
1714	lost	lost	in an unknown location; unable to be found		N/a	3667	LOST
1715	lot	lot			N/a		
1716	lotus	lotus	kind of aquatic plant, genus Nelumbo in the family Nelumbonaceae		Plants	2359	LOTUS
1717	loud	loud			Other physical	377	LOUD
1718	loud sound	loud sound			N/a		
1719	louse	louse			Animals	1392	LOUSE
1720	love	love			Abstract entities	923	LOVE
1721	low (location)	low (location)			Space	721	LOW
1722	low (size)	low (size)			Size	2191	LOW (HEIGHT)
1723	low (social)	low (social)	None		Non-physical		
1724	lower part	lower part			Space	2199	LOWER PART
1725	lower reach (of river)	lower reach (of river)	part of the river close to the mouth and adjacent area		N/a		
1726	luck	luck			N/a	720	GOOD LUCK
1727	lump	lump	hardened, compressed piece of some substance		N/a		
1728	lumpen	lumpen			Human being		
1729	lunch, midday meal	lunch, midday meal			N/a	768	LUNCH
1730	lung	lung			Body parts	688	LUNG
1731	lynx	lynx			N/a	3314	LYNX
1732	lyre	lyre			N/a		
1733	(masonry) mortar	(masonry) mortar	mixture of lime or cement, sand and water used for bonding building blocks		Non-physical	1731	MORTAR BINDER
1734	male animal	&lt;male animal&gt;			N/a	2263	MALE (OF ANIMAL)
1735	metal	&lt;metal&gt;			N/a	2244	METAL
1736	military rank	&lt;military rank&gt;			Abstract entities		
1737	money	&lt;money&gt;			Artifacts	1559	MONEY
1738	mushroom, fungus	&lt;mushroom, fungus&gt;			Plants	641	MUSHROOM
1739	musician	&lt;musician&gt;			Human being		
1740	macereed (Typha)	macereed (Typha)			Plants		
1741	mad	mad			N/a	1899	MAD
1742	magic	magic			N/a	392	MAGIC
1743	magical remedy	magical remedy	None		Non-physical		
1744	magnet	magnet	piece of material that attracts some metals by magnetism		N/a		
1745	magpie (Pica pica)	magpie (Pica pica)			Animals	2039	MAGPIE
1746	main	main			Evaluation	1078	MAIN
1747	maize	maize			Plants	506	MAIZE
1748	makara	makara	aquatic monster in Hindu and Buddhism mythology (sometimes confounded with the crocodile, shark, dolphin)		N/a		
1749	male (animal)	male (animal)			N/a	2263	MALE (OF ANIMAL)
1750	malignant (of tumor)	malignant (of tumor)			N/a		
1751	mallow	mallow	plant Malva		N/a		
1752	man (male)	man (male)	None		Human being	2106	MALE PERSON
1753	man with a big moustache	man with a big moustache			Human being		
1754	mandrake	mandrake	plant of the genus Mandragora, certain of which are said to have medicinal properties; the root of these plants often resembles the shape of a small person, hence occasioning various mythic, magical, or occult uses		N/a		
1755	mandrel (technology)	mandrel (technology)	tool or component of a tool that guides, grips or clamps something, such as a workpiece to be machined, a machining tool or a part while it is moved		N/a		
1756	mane	mane	long hair in the neck of horses and lions		Body parts	1918	MANE
1757	mango	mango	tropical Asian fruit tree, Mangifera indica, and the fruit of this tree		Plants	2398	MANGO
1758	mangy, scabby	mangy, scabby			Other physical		
1759	manner, way	manner, way			Abstract entities	488	MANNER
1760	mantis	mantis	insect of the order Mantodea that catch insects or other small animals with their powerful forelegs		N/a	3279	MANTIS
1761	manufacturer, producer	manufacturer, producer			Human being		
1762	many, much	many, much	None		Quantity	1198	MANY
1763	many-coloured, motley	many-coloured, motley			Light and Colour	2997	COLORFUL
1764	maple	maple			Plants	3248	MAPLE TREE
1765	maple sugar	maple sugar	a type of sugar made by boiling the sap of the sugar maple		N/a		
1766	marble goby (Oxyeleotris marmorata)	marble goby (Oxyeleotris marmorata)			N/a		
1767	March	March	third month of the Gregorian calendar, following February and preceding April		N/a	2846	MARCH
1768	mare	mare	adult female horse		N/a	938	MARE
1769	mark of wheels on the ground	mark of wheels on the ground	rut: furrow, groove, or track worn in the ground, as from the passage of many wheels along a road		N/a		
1770	mark, grade (at school)	mark, grade (at school)			Abstract entities		
1771	market	market			Human being	633	MARKET
1772	marmot	marmot	large ground squirrel in the genus Marmota		N/a	3719	MARMOT
1773	marriage	marriage	union of two or more people that creates a family tie and carries legal, social, and/or religious rights and responsibilities		N/a	2432	MARRIAGE
1774	married	married			Non-physical		
1775	Mars	Mars	fourth planet in the solar system		Natural objects		
1776	marsh mallow	marsh mallow	European species of plant in the mallow family, Althaea officinalis		N/a		
1777	marten	marten			Tactile quality	3739	MARTEN
1778	martyr	martyr			Human being		
1779	Mary, mother of Jesus	Mary, mother of Jesus			N/a		
1780	mask	mask			Artifacts	2005	MASK
1781	mat	mat			Artifacts	195	MAT
1782	match	match			N/a		
1783	match (for fire)	match (for fire)			N/a	1133	MATCH
1784	matchmaker	matchmaker			Human being		
1785	matter, affair	matter, affair			Abstract entities	2214	AFFAIR
1786	mattress	mattress			Artifacts	105	MATTRESS
1787	May	May			N/a	2848	MAY (MONTH)
1788	may, to be allowed	may, to be allowed			Modal		
1789	meadow	meadow	piece of land covered or cultivated with grass, usually intended to be mown for hay		N/a	2819	GRASSLAND
1790	meadow-sweet	meadow-sweet			Plants		
1791	meal (process)	meal (process)			Time	1526	MEAL
1792	meandering, winding	meandering, winding			N/a		
1793	meaning, sense	meaning, sense			Abstract entities	2950	MEANING
1794	meaningless	meaningless			Non-physical		
1795	means	means			N/a		
1796	measles	measles	acute highly contagious disease, often of childhood, caused by Measles virus		N/a	3389	MEASLES
1797	measure of volume	measure of volume	None		Space		
1798	measure of weight	measure of weight	None		Abstract entities		
1799	meat	meat			Natural objects	634	MEAT
1800	meat jelly	meat jelly			N/a		
1801	mediator	mediator	None		Interpersonal relations		
1802	medlar	medlar			Plants		
1803	medusa, jellyfish	medusa, jellyfish			Animals		
1804	meek	meek			Evaluation	1954	GENTLE
1805	meeting of witches	meeting of witches	meeting of witches at midnight to practice sorcery or to take part in a demonic orgy		N/a		
1806	melancholy	melancholy	None		Abstract entities		
1807	melody, tune	melody, tune			Abstract entities		
1808	melon (Cucumis melo)	melon (Cucumis melo)			Plants	507	MELON
1809	member	member			N/a	2424	MEMBER
1810	member of a retinue	member of a retinue			N/a		
1811	member of criminal organisation	member of criminal organisation			N/a		
1812	member of religious organisation	member of religious organisation			N/a		
1813	memory	memory			Abstract entities	1018	MEMORY
1814	menstruation	menstruation			Physiology	766	MENSTRUATION
1815	mental hospital	mental hospital			Artifacts		
1816	merchant	merchant			Human being	1082	MERCHANT
1817	Mercury	Mercury			Natural objects		
1818	mercury	mercury			Natural objects		
1819	mesentery	mesentery			N/a		
1820	messenger	messenger			Human being		
1821	metal	metal			Natural objects	2244	METAL
1822	metal spike	metal spike	None		N/a	502	NAIL (TOOL)
1823	metalworker	metalworker			Human being		
1824	meteor shower	meteor shower			Natural objects		
1825	meteorite	meteorite			N/a		
1826	meter (device)	meter (device)	device that measures things		N/a		
1827	mica	mica	any of a group of hydrous aluminosilicate minerals characterized by highly perfect cleavage, so that they readily separate into very thin leaves, more or less elastic		N/a		
1828	Michael (archangel)	Michael (archangel)	an angel mentioned by name in Bible (Jude 1:9, Rev. 12:7, etc.), which is one of the most revered archangels in the Abrahamic religions		N/a		
1829	Mid-Autumn	Mid-Autumn			N/a		
1830	middle	middle			Space	1093	MIDDLE
1831	middle finger	middle finger			N/a	3387	MIDDLE FINGER
1832	middle of nowhere, periphery	middle of nowhere, periphery	place located far from the center, outskirts.		N/a		
1833	midnight	midnight			Time	2656	MIDNIGHT
1834	midwife	midwife	person, usually a woman, who is trained to assist women in childbirth, but who is not a physician		N/a	3859	MIDWIFE
1835	milk	milk			Natural objects	635	MILK
1836	milk-tooth, deciduous tooth	milk-tooth, deciduous tooth			Other physical		
1837	Milky Way	Milky Way			Natural objects	2289	MILKY WAY
1838	mill (n.)	mill (n.)	grinding apparatus for substances such as grains, seeds, etc. and a building housing such a grinding apparatus		Human being	636	MILL
1839	mill race	mill race	fast-running water-filled channel diverted from a river or stream used to drive a mill wheel		N/a		
1840	millerbird (Acrocephalus etc.)	millerbird (Acrocephalus etc.)			Animals		
1841	millet	millet	grain crop Panicum miliaceum		N/a	931	MILLET
1842	million	million	cardinal number 1000000; a thousand thousand		N/a	3533	ONE MILLION
1843	millstone	millstone			Artifacts		
1844	milt (of fish)	milt (of fish)	semen of a male fish		Animals		
1845	mind (n.)	mind (n.)	ability for rational thought		Abstract entities	1562	MIND
1846	mine (explosive device)	mine (explosive device)	device intended to explode when stepped upon or touched, or when approached by a ship, vehicle, or person		N/a		
