ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
815	割れる	われる	be broken (Vi)	uṭai	உடை	se fendre	inkasara	liè	sich spalten	ṭūṭ jānā	petjah	shekastan	трескаться, ломаться	romperse, quebrase	vunjika
816	刈る	かる	mow/cut (Vt)	ar̠u	அறு	couper	ḥaṣada qaṭaʿa	gē	mähen	kāṭnā	menjabit	chīdan	косить	cortar	kata
817	干す	ほす	dry (Vt)	kāy	காய்	sécher	jaffafa	shàigān, liànggān	trocknen	sukhānā	mendjemur	hoshk kardan	сусить, проветривать	secar	anika, kausha
818	耕す	たがやす	cultivate (Vt)	payircey	பயிர்சேய்	labourer, cultiver	ḥarat̠a	gēng	ackern, bauen	jōtnā	mentjangkul	kāshtan	пахать	cultivar	lima, palilia
819	植える	うえる	plant (Vt)	naṭu	நடு	planter	ġarasa	zāi	pflanzen	jamānā	menanami	ghars kardan	сажать	plantar	panda, weka
820	蒔く	まく	sow (Vt)	vitai	விதை	semer	zaraʿa	zhòng	säen	bōnā	menjemaikan	kāshtan	сеять	sembrar	panda mbegu
821	撒く	まく	scatter (Vt)	citar̠u	சிதறு	disperser	nat̠ara	sǎ	zerstreuen	chiṛakhā	menaburkan	parākandan	рассеивать, разбрасывать	esparcir	mwaga
822	分ける	わける	divide (Vt)	piri	பிரி	diviser	qassama, wazzaʿa	fēn, fēnpèi	trennen, teilen	bānṭnā	memisahkan	touzī( kardan, bakhsh kardan	раздавать, делить	dividir, apartar	gawa
823	付ける、くっつける	つける	attach (Vt)	oṭṭu	ஓட்டு	attacher	alṣaqa, 'alḥaqa	fùshang	befestigen	lagānā	mengikatkan, memasang	peivastan, chasbīdan	прикреплять	pegar	nata
824	並べる、整列させる	ならべる、せいれつさせる	line up/dispose (Vt)	varicaipraṭuttu	வரிசைப்ரடுத்து	aligner, ranger	rattaba	bǎi, pái	nebeneinander stellen	ṭhīk sthān men rakhnā	membariskan	dar saf āvardan	ставить в ряд, расставлять	alinear	panga
825	配る	くばる	distribute (Vt)	val̠aṅku	வழங்கு	distribuer	wazzaʿa	fēnpèi	verteilen	vibhāg karnā	membagi-bagikan	touzī( kardan	распределять, раздавать	distribuir	gawa, gawanya
826	贈る	おくる	present (Vt)	koṭu	கோடு	présenter	ahdā, qaddama	zèngsòng	schenken	pradān karnā	menghadiahkan	taqdīm kardan	ларить, награждать	regalar	pa, tuza
827	受け取る	うけとる	receive/accept (Vt)	ēr̠r̠ukkoḷ	ஏற்றுக்கோள்	recevoir, accepter	qabila, taqāḍā	shōu, lǐng	empfangen	prāpt karnā	menerima	pazīraftan, daryāft kardan	принимать, получать	recibir, aceptar	pokea
828	抱く	だく	embrace (Vt)	an̠ai	அனை	embrasser	iʿtanaqa, ḥaḍana	bào	umarmen	ālingan karnā	memeluk	dar āghūsh gereftan	обнимать	abrazar	kumbatia
829	担ぐ	かつぐ	shoulder (Vt)	cuma	சும	porter sur ses épaules	tanakkaba	káng	schultern, tragen	kandhā lagānā	memebahu	be-dūsh gereftan	нести, носить (на плечах)	cargar (a) hombro	beba
830	背負う	せおう	bear on one's back (Vt)	cuma	சும	se changer, porter sur le dos	ḥamala ʿala ẓẓahr	bēi	auf den Rücken nehmen	pīṭh par uṭhānā	membahu	be-posht haml kardan	нести, носить (на спинэ)	cargar	beba begani
831	運ぶ	はこぶ	carry (Vt)	eṭukkuk koṇṭu pō	ஏடுக்குக் கோண்டு போ	porter	ḥamala	bān (yùn)	tragen	lē jānā	membawa	bordan	везти, возить, перевозить	llevar	chukua, peleka
832	渡る	わたる	cross/ferry (V)	kaṭa	கட	traverser	ʿabara	guò	hinübergehen	pār jānā	menjeberangi	`obūr kardan	переходить, проходить	cruzar	vuka
833	送る	おくる	send (Vt)	an̠uppu	அனுப்பு	envoyer	arsala, baʿat̠a	sòng	senden	bhējnā	mengirim	ferestādan	посылать	enviar, mandar	tuma, peleka
834	急ぐ	いそぐ	hurry (Vi)	avacararpaṭu	அவசரர்படு	se hâter, se presser	asraʿa, ʿajila	kuài (zou)	eilen	jaldī karnā	terburu-buru, lekas	shetābīdan	спешить, торопиться	apurarse, apresurarse	enda haraka
835	帰る	かえる	return/come back (Vi)	tirumpa vā	திரும்ப வா	revenir, rentrer, retourner	ʿāda, rajaʿa	huí	zurückkommen	wāpas ānā	pulang	bar gashtan	возвращаться	volver	rudi
836	着く、到着する	つく、とうちゃくする	arrive (Vi)	vantu cēr	வந்து சேர்	arriver	waṣala	dào	ankommen	pahuncnā	sampai	rasīdan	приходить, приезжать	llegar	hka, wasili
837	通る	とおる	pass (V)	tāṇṭu	தாண்டு	passer	marra	zǒuguò, tōngguò	passieren	pār hōnā	melalui	gozashtan	проходить	pasar	pita
838	止まる	とまる	stop/halt (Vi)	nil	நில்	s'arrêter	tawaqqafa, waqafa	tíngzhù	halten, aufhören	ruknā	berhenti	baz īstadan, tavaqqof kardan	останавливаться	parar	simama
839	止める	とめる	stop (Vt)	nir̠uttu	நிறுத்து	arrêter	awqafa, manaʿa, ṣadda	tíngzhù	anhalten, aufhalten	rōknā	menghentikan	negāh dāshtan	останавливать	parar, detener	simamisha
840	倒れる	たおれる	fall down (Vi)	vil̠u	விழு	tomber à terre	saqaṭa, waqaʿa	dǎo	fallen	gir paṛnā	djatuh	zamīn khordan	падать, валиться	caerse	anguka
841	出す	だす	issue (Vt)	veḷiyiṭu	வேளியிடு	sortir	aṣdara	náchū	herauskommen	niklānā	mengeluarkan	sāder kardan	выпускать	emitir	toa
842	入れる	いれる	let s.o. come in (Vt)	varaval̠ai	வரவழை	mettre qch. dans	adḫala	jiàojìnlái, zhuāngrù	einlassen	bharnā	memasukkan	dākhel kardan	впускать, вводить	meter	ingiza
843	上げる、持ち上げる	あげる、もちあげる	lift (Vt)	tūkku	தூக்கு	lever, élever	rafaʿa, ʿallā	jǔqǐ	heben	uṭhānā	mengangkat	bālā kardan	поднимать	levantar, elevar	inua
844	汲む	くむ	draw up (Vt)	mukarntu	முகர்ந்து	puiser	mala'a	yǎo, dǎ	schöpfen	khīncnā	menimba	bālā kashīdan	черпать	sacar	teka, chota
845	火を付ける	ひをつける	kindle (Vt)	tūṇṭu	தூண்டு	allumer	awqada, 'ašʿala	diǎnhuo	zünden	āg lagānā	menjalakan	roushan kardan	зажигать	encender	washa
846	消す	けす	put out/extinguish (Vt)	aṇai	அணை	éteindre	aṭfa', maḥā	xiāo, miè	auslöschen	bujhānā	mematikan	khāmūsh kardan	тушить	apagar, extinguir	zima, zimisha
847	塗る	ぬる	smear/paint (Vt)	pūcu	பூசு	enduire, peindre	dahana	mǒ	bestreichen	rangnā	melumas	andǔdan	намазывать	pintar	paka
848	建てる	たてる	build (Vt)	kaṭṭu	கட்டு	bâtir	banā, šayyada	gài	bauen	racnā	mendirikan	benā kardan	строить	construir	jenga, aka
849	飾る	かざる	adorn/decorate (Vt)	ala{-n}kari	அல{-ந்}கரி	décorer, orner	zayyana	zhuāngshì	schmücken	sajānā	menghiasi	ārāstan	украшать	adornar	pamba
850	用いる	もちいる	use/utilize/employ (Vt)	upayōki	உபயோகி	se servir de employer, utilise	istaḫdama, 'istaʿmala	yòng, shǐyòng, lìyòng	benützen	prayōg karnā	mempergunakan	este`māl karnā, estekhdām kardan	употреблять, использовать	emplear, usar	tumia
851	頼む	たのむ	request/ask (Vt)	vēṇṭu	வேண்டு	demander, prier	rajā, sa'ala	qiú	bitten	māngnā	meminta	taqāzā kardan	просить	pedir	omba
852	引き受ける	ひきうける	undertake (Vt)	mēr̠kōḷ	மேற்கோள்	se charger de	qabila	jiēshòu, chéngdān	auf sich nehmen	svīkrit karnā	menanggung	bar `ohdeh gereftan	принимать, брать на себя	encargarse de	kubali
853	決める	きめる	decide (Vt)	tīrmān̠i	தீர்மானி	décider	qarrara, ḥaddada	juédìng	bestimmen	nirṇaya karnā	menentukan	tasmīm gereftan	решать, установлять	determinar, decidir	kata shauri
854	許す	ゆるす	admit/grant/allow (Vt)	an̠umati	அனுமதி	admettre, permettre	samaha, ṣarraha	yǔnxǔ	erlauben, gestatten	svīkār karnā	membenarkan	pazīraftan qabūt kardan	позволять, разрешать	admitir, permitir	toa ruhusa, ruhusu
855	断わる	ことわる	refuse (Vt)	mar̠u	மறு	refuser	rafaḍa	jùjué	abweisen	pratiṣēdh karnā	menolak	radd kardan	отказывать, отклонять	rechazar, recusar	kataa
856	賛成する	さんせいする	approve (V)	an̠umatikoṭu, oppu	அனுமதிகோடு, ஓப்பு	approuver	wāfaqa	zànchéng	zustimmen	anumōdan karnā	menjetudjui	tasvīb kardan	соглашаться	aprobar	kubali
857	反対する	はんたいする	oppose (V)	etir	ஏதிர்	s'opposer à	ʿāraḍa	fǎnduì	widersprechen	virōdh karnā	menentang	mokhālefat kardan	возражать, быть, против	oponerse a	zuia, kataa, teta
858	争う	あらそう	contest/dispute (V)	pōṭṭiyiṭu/caṇṭaiyiṭu	போட்டியிடு/சண்டையிடு	disputer	ṣāraʿa nāzaʿa	dòuzhēng	streiten, kämpfen	jhagaṛnā	bertanding	bahs kardan, tanāzo` kardan	спорить, ссориться,	disputar	shindana
859	約束する	やくそくする	promise (Vt)	vākkaḷi	வாக்களி	promettre	waʿada	yuē	versprechen	pratigya karnā	berdjandji	qoul dādan	обещать	prometer	toa ahabi, ahidi
860	別れる	わかれる	depart (Vi)	piri	பிரி	quitter	waddaʿa	líkāi	Abschied nehmen	bidā hōnā	berpisah	jodā shodan	расходиться, расставаться	despedir	achana, tokana
861	飽きる	あきる	be fed up (Vi)	pōraṭi	போரடி	s'ennuyer	ʿāfati nnafs zahada fi	nì	sich übersättigen	thaknā	djemu	sīr shodan	насыщаться, надоедать	cansarse de	choka
862	成功する	せいこうする	succeed (V)	jeyi	ஜேயி	réussir	najaḥa	chénggōng	gelingen	saphal hōnā	berhasil	movaffaq shodan	удаваться, иметь успех,???	salir bien	faulu, fuzu
863	失敗する	しくじる、しっぱいする	fail (V)	tōlviyur̠u	தோல்வியுறு	manquer, échouer	fašila	shībài	fehlen	asaphal hōnā	gagal	movaffaq na-shodan	терпеть неудачу провали	fracasar	kosa, shindwa
864	間違う	まちがう	make a mistake (Vi)	tavar̠u cey	தவறு சேய்	se tromper	aḫṭa'a ġaliṭa	nòngcuò, gǎocuò	fehlen	anyāya karnā	salah	eshtebāh kardan	ошибаться	equivocarse	kosa
865	成る、為る	なる	become/be (Vi)	āku	ஆகு	devenir	aṣbaḥa	chéngwéi	werden	hōjānā	mendjadi	shodan	становиться, делаться	llegar a	wa, geuka
866	起きる［事件が］	おきる	arise/happen (Vi)	naṭaiper̠u	நடைபேறு	se passer	ḥadat̠a waqaʿa	fāshēng	aufstehen	ā paṛnā	bangun	rokh dādan	происходить, возникать	lerantarse	tukia
867	始まる	はじまる	begin (Vi)	ārampi	ஆரம்பி	commencer	ibtada'a	kāishǐ	beginnen	āranbh hōnā	mulai	shorū` shodan	начинаться	empezar, comenzar	anza
868	始める	はじめる	begin (Vt)	ārampi	ஆரம்பி	commencer	bada'a	kāishǐ	beginnen	āranbh karnā	memulai	shorū` kardan	начинать	empezar, comenzar	anza
869	終わる	おわる	finish/end (Vi)	muṭi	முடி	finir	intahā, tamma	wán, jiéshù	enden, fertig werden	samāpt hōnā	berachir	tamām shodan	кончаться	terminarse, acabarse	maliza, isha, kwisha
870	変わる	かわる	change (Vi)	mār̠u	மாறு	changer	taġayyara, taḥawwala	biànhuà	(sich) wechseln	badalnā	berubah	tabdīl yāftan, taghyīr kardan	изменяться, меняться	cambiar	geuka, badilika
871	変える	かえる	change (Vt)	mār̠r̠u	மாற்று	changer	ġayyara baddala, ʿaddala	gǎibiàn	wechseln	badlānā	merobah	(evaz kardan	изменить, менять	cambiar	geuza, badilisha
872	代わる、替わる	かわる	take one's place (Vi)	iṭattai eṭuttuk koḷ	இடத்தை ஏடுத்துக் கோள்	prendre la, place de	ḥalla maḥall, qāma maqām	dàitì, tìhuan	wechseln (mit et. od, jm)	āpas mēn badalnā	berganti	jāy gereftan	заменять, замещать	turnar	badili
873	取り替える	とりかえる	replace (Vt)	mār̠r̠u	மாற்று	remplacer	istabdala	huàn	wechseln, austauschen	badlānā	menggantikan	(evaz kardan	заменять	reemplazar	badilishana
874	止む	やむ	cease (Vi)	nil	நில்	cesser, s'arrêter	tawaqqafa	tíngzhi	aufhören	band hōnā	berhenti	band āmadan	переставать, прекращаться	cesar	koma, nyamaza
875	止す	よす	stop (Vt)	nir̠uttu	நிறுத்து	cesser, arrêter	awqafa, 'anhā	tíngzhi, zuòbà	unterbrechen, aufhören	band karnā	berhenti	tavaqqof kardan	прекращать, переставать	cesar	simama, acha, koma
876	続く	つづく	continue (Vi)	toṭar	தோடர்	continuer	istamarra wāṣala	jìxù	dauern	jārī hōnā	terus	edāmeh dāshtan	продолжаться	seguir, continuar	endelea
877	続ける	つづける	continue (Vt)	toṭarntu paṇṇu	தோடர்ந்து பண்ணு	continuer	istamarra	jìxù	fortsetzen	jārī kārnā	meneruskan	edāmeh dādan	продолжать	seguir, continuar	endeleza
878	集まる	あつまる	gather/assemble (Vi)	kūṭu	கூடு	se réunir	ijtamaʿa tajammaʿa	jí, jíhé	sich sammeln	ikaṭṭā hōnā	berkumpul	jam( shodan	собираться	reunirse	kusanyika, kutana
879	動かす	うごかす	move (Vt)	nakar	நகர்	remuer, bouger	ḥarraka, naqala	dòng, kāidòng	bewegen	calānā	menggerakkan	jonbāndan	двигать	mover	endesha, sogeza
880	揺れる	ゆれる	sway (Vi)	āṭu	ஆடு	se balancer	ihtazza, tamāyala	yáo	schwanken	kānpnā	berajun	tāb khordan	качаться, колыхаться	balancearse	tetemeka
881	回る	まわる	turn round (Vi)	cur̠r̠u	சுற்று	tourner	dāra	zhuàn	sich drehen, kreisen	cakkar khānā	berputar	gardīdan	вертеться, кружнться	girar	zunguka
882	向く、曲がる	むく、まがる	turn to/turn (Vi)	tirumpu	திரும்பு	tourner à	tawajjaha	xiàng, cháo	sich wenden	cakkar dēnā	menghadap	motavajjeh shodan	поворачиваться,???	volverse a, dirigirse a	geuza, pindua
883	下がる	さがる	go down (Vi)	iraṅku	இரங்கு	descendre	nazala, habaṭa	xià	herunterkommen	girnā	menurun	pāyīn āmadan	падать, понижаться	bajar, descender	telemka, shuka
884	生える	はえる	grow [grass] (Vi)	vaḷar	வளர்	croître	nabata	zhǎng	wachsen, sprossen	ugnā	tumbuh	rastan	расти	brotar	kua, ota, mea
885	枯れる	かれる	wither (Vi)	paṭṭuppō	பட்டுப்போ	se flétrir	wahana, jaffa	kū	welken	murjhānā	meranggas	pezhmordan	засыхать, вянуть	marchitarse	fa, kufa
886	咲く	さく	bloom (Vi)	malar	மலர்	fleurir	azhara, 'izdahara	kāi	blühen	khilnā	berbunga	shegūfeh kardan	цвести	florecer	toa maua
887	生る	なる	grow (fruit)/bear (Vi)	vaḷar	வளர்	rapporter des fruits	t̠amara	jiē	tragen	ugnā	berbuah	bār āvardan	приносить плоды	dar fruto	zaa matunda
888	増える	ふえる	increase (Vi)	uyar	உயர்	augmenter	izdada	zēngjiā, tiān	zunehmen	baṛhnā	bertambah	afzūdan, zyād shodan	увеличиваться, расти	aumentar	ongeka, zidi
889	減る	へる	decrease (Vi)	kur̠ai	குறை	diminuer, décroître	naqaṣa, qalla	jiǎn, jiǎnshǎo	abnehmen	ghaṭnā	berkurang	kāstan, kam shodan	убывать, уменьшаться	disminuir	pungua
890	匂う、臭う	におう	smell (Vi)	vācamāyiru	வாசமாயிரு	sentir	šamma	fāchòu, yǒuxiāngwèir	riechen	gandh ānā	berbau	būyīdan	пахнуть	oler	nuka, nukia
891	光る	ひかる	glitter/shine (Vi)	min̠n̠u	மின்னு	briller, étinceler, rayonner	lamaʿa	fāliàng	glänzen	camaknā	bertjahaja	tābīdan, darakhshīdan	светить, сиять	brillar, lucir	ng'aa, meta
892	凍る	こおる	freeze (Vi)	ur̠aintupō	உறைந்துபோ	geler	tajammada	dòng	(ge) frieren	jamnā	membeku	yakh bastan	замерзать	helar	ganda kwa baridi
893	溶ける	とける	melt/solve (Vi)	uruku	உருகு	(se) fondre	d̠āba	rónghuà	schmelzen	galnā	luluh	godākhtan	таять, растворяться	disolverse, fundisse	yeyuka
